"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Abuelo's Awakening","W","R","4495","1.71","607","1.74","1321","36.4%","49.1%","212","","322","","534","46.6%","783","50.8%","-4.2pp"
"Acrobatic Leap","W","C","135894","9.86","29010","12.10","28603","15.2%","58.1%","4473","55.5%","6504","58.0%","10977","57.0%","17560","58.8%","-1.8pp"
"Adaptive Gemguard","W","C","118821","6.04","21981","8.16","88174","63.5%","56.8%","14171","55.5%","21035","55.8%","35206","55.7%","52575","57.5%","-1.8pp"
"Attentive Sunscribe","W","C","110178","4.90","16177","6.66","83861","81.2%","58.4%","15007","58.5%","18241","56.3%","33248","57.3%","50284","59.1%","-1.7pp"
"Bat Colony","W","U","44229","5.74","4760","8.10","8023","27.4%","51.6%","1328","51.7%","2027","55.2%","3355","53.8%","4566","49.6%","4.2pp"
"Clay-Fired Bricks","W","U","26089","2.37","8763","2.68","50228","88.2%","59.5%","8886","60.3%","12300","62.0%","21186","61.3%","28631","58.1%","3.2pp"
"Cosmium Blast","W","C","118187","5.51","18885","7.26","80453","68.6%","56.0%","13507","54.5%","19451","56.1%","32958","55.5%","47296","56.4%","-0.9pp"
"Dauntless Dismantler","W","U","48512","5.82","6715","7.89","20698","48.8%","55.6%","3634","54.2%","4550","54.2%","8184","54.2%","12474","56.4%","-2.2pp"
"Deconstruction Hammer","W","C","133667","8.01","31048","9.68","98575","49.3%","59.0%","16689","58.1%","22269","57.4%","38958","57.7%","59053","59.7%","-2.1pp"
"Dusk Rose Reliquary","W","U","26522","3.32","8399","4.02","46232","86.7%","58.0%","7634","57.2%","11111","60.3%","18745","59.1%","27189","57.3%","1.8pp"
"Envoy of Okinec Ahau","W","C","121321","5.91","12922","8.41","43081","53.1%","56.1%","7301","55.6%","10060","55.7%","17361","55.6%","25649","56.5%","-0.9pp"
"Fabrication Foundry","W","R","3575","1.43","452","1.41","768","28.2%","50.3%","124","","178","","302","","462","",""
"Family Reunion","W","C","135556","9.28","21691","12.23","11322","8.1%","53.3%","1773","49.1%","2537","52.7%","4310","51.2%","7004","54.6%","-3.3pp"
"Get Lost","W","R","2544","1.06","738","1.05","2807","62.8%","51.9%","470","","707","53.0%","1177","52.2%","1623","51.6%","0.5pp"
"Glorifier of Suffering","W","C","127368","6.56","22935","8.38","86580","60.5%","56.1%","14163","53.9%","20333","55.3%","34496","54.8%","51915","56.9%","-2.1pp"
"Guardian of the Great Door","W","U","22075","2.49","5774","2.96","32318","89.8%","57.3%","5268","56.7%","7764","58.9%","13032","58.0%","19251","56.8%","1.2pp"
"Helping Hand","W","U","50075","6.25","6092","8.52","13214","34.3%","56.1%","2137","54.5%","3043","55.5%","5180","55.1%","8009","56.7%","-1.6pp"
"Ironpaw Aspirant","W","C","111453","5.32","22704","6.90","119260","82.8%","58.3%","21154","59.1%","26780","57.6%","47934","58.3%","71114","58.4%","-0.1pp"
"Kinjalli's Dawnrunner","W","U","22302","2.46","4774","2.92","26663","89.0%","58.0%","4747","60.4%","6325","58.0%","11072","59.0%","15543","57.3%","1.8pp"
"Kutzil's Flanker","W","R","2822","1.12","1083","1.11","5185","77.7%","55.4%","878","53.1%","1224","56.2%","2102","54.9%","3074","55.9%","-1.0pp"
"Malamet War Scribe","W","U","27496","2.94","3798","3.65","18422","79.4%","56.3%","2781","53.5%","4326","57.1%","7107","55.7%","11280","56.6%","-0.8pp"
"Market Gnome","W","U","30889","3.28","4707","4.18","23722","79.9%","57.6%","4097","59.1%","5599","58.3%","9696","58.7%","13876","56.7%","2.0pp"
"Might of the Ancestors","W","U","49835","6.21","6659","8.24","16993","40.5%","56.3%","2833","54.6%","4105","54.9%","6938","54.7%","10021","57.4%","-2.7pp"
"Miner's Guidewing","W","C","95063","4.04","25908","4.80","149655","89.2%","60.0%","26999","64.0%","33925","59.4%","60924","61.4%","88411","59.1%","2.4pp"
"Mischievous Pup","W","U","36725","4.33","5657","6.00","24850","71.0%","55.5%","4116","52.0%","5760","55.3%","9876","53.9%","14908","56.6%","-2.7pp"
